min,max,count,mean,year,month,type,index,lat,long
1.0,32.0,100,5.11,0s_e,ev,2.1_,279,23.78158,70.37594
-3.0,32.0,90,1.4666666666666666,0s_e,ev,2.1_,280,23.78158,70.45556
-3.0,34.0,100,2.91,0s_e,ev,2.1_,281,23.78158,70.53519
-2.0,18.0,100,3.33,0s_e,ev,2.1_,282,23.78158,70.61481
3.0,16.0,90,7.177777777777778,0s_e,ev,2.1_,283,23.78158,70.69444
3.0,21.0,100,8.59,0s_e,ev,2.1_,284,23.78158,70.77406
1.0,33.0,90,9.344444444444445,0s_e,ev,2.1_,285,23.78158,70.85369
4.0,29.0,100,15.23,0s_e,ev,2.1_,286,23.78158,71.09256
6.0,39.0,90,21.11111111111111,0s_e,ev,2.1_,287,23.78158,71.17219
4.0,32.0,100,11.76,0s_e,ev,2.1_,288,23.78158,71.25181
6.0,25.0,100,14.04,0s_e,ev,2.1_,289,23.78158,71.33144
8.0,17.0,90,11.977777777777778,0s_e,ev,2.1_,290,23.78158,71.41106
13.0,23.0,100,17.3,0s_e,ev,2.1_,291,23.78158,71.49069
18.0,26.0,90,21.933333333333334,0s_e,ev,2.1_,292,23.78158,71.57031
22.0,31.0,100,26.7,0s_e,ev,2.1_,293,23.78158,71.64994
27.0,38.0,90,31.955555555555556,0s_e,ev,2.1_,294,23.78158,71.72956
33.0,42.0,100,37.78,0s_e,ev,2.1_,295,23.78158,71.80919
39.0,51.0,90,45.15555555555556,0s_e,ev,2.1_,296,23.78158,71.88882
47.0,62.0,100,53.99,0s_e,ev,2.1_,297,23.78158,71.96844
58.0,72.0,100,64.59,0s_e,ev,2.1_,298,23.78158,72.04807
68.0,83.0,90,74.66666666666667,0s_e,ev,2.1_,299,23.78158,72.12769
77.0,95.0,100,84.39,0s_e,ev,2.1_,300,23.78158,72.20732
86.0,109.0,90,97.03333333333333,0s_e,ev,2.1_,301,23.78158,72.28694
95.0,123.0,100,109.07,0s_e,ev,2.1_,302,23.78158,72.36657
109.0,134.0,90,122.25555555555556,0s_e,ev,2.1_,303,23.78158,72.44619
119.0,154.0,100,135.04,0s_e,ev,2.1_,304,23.78158,72.52582
134.0,163.0,90,146.33333333333334,0s_e,ev,2.1_,305,23.78158,72.60544
146.0,168.0,100,158.24,0s_e,ev,2.1_,306,23.78158,72.68507
127.0,169.0,100,151.03,0s_e,ev,2.1_,307,23.78158,72.76469
135.0,170.0,90,154.85555555555555,0s_e,ev,2.1_,308,23.78158,72.84432
149.0,190.0,100,168.83,0s_e,ev,2.1_,309,23.78158,72.92394
166.0,227.0,90,183.6888888888889,0s_e,ev,2.1_,310,23.78158,73.00357
173.0,216.0,100,191.38,0s_e,ev,2.1_,311,23.78158,73.08319
187.0,315.0,90,230.24444444444444,0s_e,ev,2.1_,312,23.78158,73.16282
187.0,374.0,100,221.97,0s_e,ev,2.1_,313,23.78158,73.24244
211.0,347.0,90,259.1777777777778,0s_e,ev,2.1_,314,23.78158,73.32207
228.0,461.0,100,325.84,0s_e,ev,2.1_,315,23.78158,73.40169
247.0,374.0,100,326.08,0s_e,ev,2.1_,316,23.78158,73.48132
16.0,49.0,90,31.511111111111113,0s_e,ev,2.1_,317,23.70098,68.70381
19.0,107.0,100,43.3,0s_e,ev,2.1_,318,23.70098,68.78344
0.0,71.0,100,9.89,0s_e,ev,2.1_,319,23.70098,69.10194
0.0,10.0,100,3.68,0s_e,ev,2.1_,320,23.70098,69.18156
-3.0,30.0,90,1.6,0s_e,ev,2.1_,321,23.70098,70.45556
-2.0,32.0,100,4.92,0s_e,ev,2.1_,322,23.70098,70.53519
3.0,18.0,100,10.41,0s_e,ev,2.1_,323,23.70098,70.61481
12.0,30.0,90,19.366666666666667,0s_e,ev,2.1_,324,23.70098,70.69444
4.0,32.0,100,18.36,0s_e,ev,2.1_,325,23.70098,70.77406
3.0,36.0,90,19.166666666666668,0s_e,ev,2.1_,326,23.70098,70.85369
2.0,35.0,100,14.36,0s_e,ev,2.1_,327,23.70098,70.93331
3.0,22.0,100,8.36,0s_e,ev,2.1_,328,23.70098,71.09256
3.0,17.0,90,4.944444444444445,0s_e,ev,2.1_,329,23.70098,71.17219
3.0,12.0,100,5.55,0s_e,ev,2.1_,330,23.70098,71.25181
5.0,14.0,100,7.49,0s_e,ev,2.1_,331,23.70098,71.33144
7.0,13.0,90,9.911111111111111,0s_e,ev,2.1_,332,23.70098,71.41106
11.0,20.0,100,14.7,0s_e,ev,2.1_,333,23.70098,71.49069
14.0,26.0,90,19.7,0s_e,ev,2.1_,334,23.70098,71.57031
19.0,28.0,100,23.12,0s_e,ev,2.1_,335,23.70098,71.64994
